appid,review,voted_up,timestamp_created,playtime_forever,num_reviews
1903340,it's been a few years since ive felt compelled to write a game review but i felt the need to do so after clair obscur expedition 33 became one of my favorite video games of all time my only regret in playing this game is that it may have actually ruined video games for me because of how much better it is compared to most other games im just echoing most players when i praise the story the music and the hybrid turnbasedrealtime gameplay as a fan of ff10s gameplay expedition 33 scratched that itch that studios dont release too often anymore i adored the turnbased combat system while mixing in realtime mechanics for dodgingparrying the timing for the parrying system can be challenging at first but youll get the hang of it in time and the game rewards you for mastering this skill as for the music just spend a couple minutes on the main menu screen and youll understand what surprised me was how many musical genres were present in this game and how well it all worked together and then theres the story i can count on one hand how many story narratives whether it was a movie a video game a book etc that actually moved me to tears expedition 33 is one of them theres a lot i could discuss here but ill just mention this i love how expedition 33 manages to create plenty of light and comedic moments in an otherwise dark and bleak world one of my pet peeves in jrpgs is the overuse of fantasy races that primarily serve as comic relief such as the nopon from the xenoblade series the gestrals however provide hilarious moments without being too outofplace with the added bonus that their humor actually contributes to the narrative in a meaningful way i do have a couple critiques for the game though the first one being menu navigation when accessing pictos skills etc it can certainly feel a bit clunky especially when youre in the late game and you have so many pictos to select from as for gameplay it can be quite easy to be overleveled for the final boss which results in the player just demolishing this fight but a quick fix for this would be to unequip the ability that removes your 9999damage cap for the most part these issues didnt really bother me too much after 69 hours of playing expedition 33 i can safely say that this game holds a special place in my heart and i wont soon forget it in time i will give this game another playthrough in ng and try to pick up on all the foreshadowing that i missed throughout my first playthrough what an incredible debut from sandfall interactive and i look forward to seeing what they develop next,True,1760824292,4146,1
1903340,what a fantastic game holy shit easily the best game i have ever played and i have played a great many the gameplay is fun the graphics astonishingly pretty the music hauntingly beautiful and the story in itself easily rivals any other ever told in any medium filled with characters that you will know love and relate to,True,1760823703,4309,40
1903340,buy this game i dont care if you want to you need to buy it,True,1760823146,1113,15
1903340,expedition 33 deserves all of it's love and praise from the angelic soundtrack breathtaking worlddesign wellwritten story and realtime turnbased combat all handcrafted with insane amounts of passion behind it the game didn't require any artificial hype pushing it to succeed it was naturally generated from simply doing the right things and sandfall caring about they put out what kind of developers release free additional lategame content to a fully finished game that's already sold over 5 million copies ones that b love b their game and the community they built power to good studios playing through the game to its fullest completion im left stunned at how an unknown studio was able to produce such a masterpiece in an already dominated genre i would be b utterly b surprised if they aren't a game of the year nominee,True,1760821207,7092,8
1903340,one of the best games i've ever played ',True,1760820888,4918,13
1903340,mindblowingly good game worth every bit of tenge i paid for it you should buy it too,True,1760820807,1822,17
1903340,music 1010 story 1010 gameplay 810 game of the year,True,1760819496,2246,4
1903340,this game is a work of art clearly the result of a passionate team it excels in story pacing music and gameplay i thoroughly enjoyed every aspect,True,1760819237,2711,14
1903340,game that make you feel wheeeee and then whooo and again wheeeee and so on whooo,True,1760819106,6591,15
1903340,i don't usually write reviews but this game is a masterpiece it's been so long since i've played a game i'd rate a 1010 it has a powerful storyline great voice acting beautiful worlds creative character design and an amazing soundtrack do not hesitate to play this game,True,1760818941,2047,1
